CONTRACT_ID,PLAN_ID,SEGMENT_ID,TIER,DAYS_SUPPLY,copay_amt_pref_insln,copay_amt_nonpref_insln,copay_amt_mail_pref_insln,copay_amt_mail_nonpref_insln,coin_amt_pref_insln,coin_amt_nonpref_insln,coin_amt_mail_pref_insln,coin_amt_mail_nonpref_insln
H5050,017,000,4,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,017,000,4,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,017,000,5,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,017,000,5,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,017,000,5,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,019,000,1,1,2.00,10.00, ,0.00,0.25,0.25, ,0.00
H5050,019,000,1,2,6.00,30.00, ,0.00,0.25,0.25, ,0.00
H5050,019,000,1,4,4.00,20.00, ,0.00,0.25,0.25, ,0.00
H5050,019,000,2,1,7.00,20.00, ,7.00,0.25,0.25, ,0.25
H5050,019,000,2,2,21.00,60.00, ,0.00,0.25,0.25, ,0.00
H5050,019,000,2,4,14.00,40.00, ,0.00,0.25,0.25, ,0.00
H5050,019,000,3,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,019,000,3,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,019,000,3,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,019,000,4,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,019,000,4,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,019,000,4,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,019,000,5,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,019,000,5,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,019,000,5,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,021,000,1,1,2.00,10.00, ,0.00,0.25,0.25, ,0.00
H5050,021,000,1,2,6.00,30.00, ,0.00,0.25,0.25, ,0.00
H5050,021,000,1,4,4.00,20.00, ,0.00,0.25,0.25, ,0.00
H5050,021,000,2,1,7.00,20.00, ,7.00,0.25,0.25, ,0.25
H5050,021,000,2,2,21.00,60.00, ,0.00,0.25,0.25, ,0.00
H5050,021,000,2,4,14.00,40.00, ,0.00,0.25,0.25, ,0.00
H5050,021,000,3,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,021,000,3,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,021,000,3,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,021,000,4,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,021,000,4,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,021,000,4,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
H5050,021,000,5,1,35.00,35.00, ,35.00,0.25,0.25, ,0.25
H5050,021,000,5,2,105.00,105.00, ,105.00,0.25,0.25, ,0.25
H5050,021,000,5,4,70.00,70.00, ,70.00,0.25,0.25, ,0.25
